# x,y,z,B_x_err,B_y_err,B_z_err
-8.895037328458119119e-02,-9.082275388301142005e-02,-7.321674858893997828e-02,6.099420103881478639e+01,2.314208282372207179e+02,1.086353350058676881e+02
-8.070981065494237106e-02,-9.204479359889286560e-02,-8.217299961248968054e-02,6.685409533664653736e+01,6.751811366783749691e+01,1.291552314007834354e+02
-8.614709279787297058e-02,-8.965148974575759544e-02,-8.134316684743286840e-02,6.817082106005467779e+01,3.289092913419803921e+01,1.136120245809723599e+02
-8.027754403473508216e-02,-9.683140130516343369e-02,-7.840971059947682287e-02,8.209387188577817085e+01,nan,1.120653976327400727e+02
-8.571482617766569556e-02,-9.443809745202814965e-02,-7.757987783441999685e-02,8.282192536215447376e+01,1.291232836613091024e+02,1.010537715062921649e+02
-7.536496856085653229e-02,-8.751526799372810750e-02,-7.980834800986351396e-02,7.374019331481082418e+01,2.975907453717625799e+02,1.550826641889998143e+02
-7.071585187929549376e-02,-8.841910388598228643e-02,-8.453625709290903123e-02,8.656388538588602444e+01,1.563822590951761777e+04,1.632897675809718123e+02
-9.756714944992131433e-02,-6.412225095967634403e-02,-6.992429517398678074e-02,nan,1.772781844887572902e+02,1.202665129209250807e+02
-9.756714944992131433e-02,-7.198293816998646566e-02,-7.032857676226192400e-02,nan,8.669836931483980891e+01,1.160564767363371175e+02
-9.332662711533426525e-02,-6.168359198157946643e-02,-8.090455885307626382e-02,2.080165682070328330e+02,1.802465394897617728e+02,1.123429834312705822e+02
-9.446992988841457217e-02,-7.579875911334593708e-02,-6.491063885603556849e-02,2.365176403242422509e+02,1.461797026044430083e+02,1.146187306617136414e+02
-9.756714944992131433e-02,-5.939142305583357956e-02,-7.590278277098293225e-02,nan,3.249767023738772878e+02,1.215491382913176324e+02
-9.005594448721257472e-02,-7.235863670861794605e-02,-6.060914371106199128e-02,4.255229194322528485e+01,5.077592069439664897e+02,1.059673258447965338e+02
-8.939157547578452379e-02,-7.731662288756821488e-02,-5.590679623835637102e-02,3.278922754252519667e+01,1.234365429659153222e+02,1.030612554595659844e+02
-9.332443883743135604e-02,-6.156357234281601559e-02,-6.267506075961984391e-02,2.069188916977946917e+02,9.952994942653187138e+01,9.969047675952134568e+01
-8.891045343622935859e-02,-6.598413714839813926e-02,-5.877784720292139609e-02,6.763363409611751820e+01,2.992517120485294413e+01,1.094606441336999723e+02
-9.124544918894872403e-02,-4.566476824956108849e-02,-9.304291959298505166e-02,2.900598574085229586e+00,5.445611951245008697e+01,2.710247907253907442e+02
-8.700492685436167495e-02,-5.148090639598012358e-02,-9.016828089614503661e-02,4.265309852851548555e+01,8.454789268759658682e+01,2.310157257868650618e+02
-9.770104297023007867e-02,-3.989126087970713830e-02,-8.633395996933816707e-02,nan,1.090689743110463041e+02,1.030323658335171473e+02
-9.310312891069029428e-02,-4.328742956953336718e-02,-8.759424377639236925e-02,2.943296691338511550e+02,8.375728638790185698e+01,1.989595017152554135e+02
-9.375393592317135538e-02,-3.514684570541118380e-02,-8.699680266826631536e-02,2.713743522628041660e+02,1.169924889011644069e+02,1.957635870221429855e+02
-8.915602186363158488e-02,-3.854301439523741962e-02,-8.825708647532053142e-02,5.490003091399483992e+01,8.882501895352024235e+01,4.512358099332132610e+02
-5.451814822889505807e-02,-8.869953982125883263e-02,1.179173196311838340e-02,1.082799969053853317e+01,3.118710893591404343e+01,1.635028097034112804e+01
-5.410580788070216279e-02,-8.752921774474856087e-02,1.132053615352130241e-02,8.296730684310276160e+00,2.364435358940293597e+01,1.625278514665983565e+01
-5.504004736108764062e-02,-9.007981807434951860e-02,1.118469312898606911e-02,1.642529163069336562e+01,9.165781784936045895e+00,2.198340442178280441e+01
-5.498232002631277260e-02,-8.645438545846934053e-02,1.130231834631288505e-02,1.018868192082508628e+01,7.437914070552176682e+00,1.710032751324720124e+01
-5.451502072015190770e-02,-8.511755663925434090e-02,1.178553799620034315e-02,6.503171091722053987e+00,4.555266526517230830e+01,1.260872140930417551e+01
-5.416249271256264042e-02,-9.115771920008507168e-02,1.120084628055513336e-02,1.402820377977293376e+01,2.756778475620532021e+01,2.191816525365213408e+01
-5.493895007989324508e-02,-9.928212349632001277e-02,1.191456517980538782e-02,7.557769670009845697e+01,nan,7.505631561565677146e+01
-5.427155077695577229e-02,-9.744512045243344800e-02,1.113950175575940948e-02,5.808087632178718707e+01,1.832302948173888240e+02,6.351898044075340266e+01
-5.649240232666130623e-02,-9.928212349632001277e-02,1.244049154265593551e-02,7.644387709084448090e+01,nan,7.750297581321711959e+01
-5.542100653391178466e-02,-9.834291787752680314e-02,1.083591422208979999e-02,6.073620102452795066e+01,7.046321242287189079e+01,7.743087223059302460e+01
-5.697445878067985275e-02,-9.834291787752681702e-02,1.136184058494034595e-02,6.928716188240271379e+01,2.603957935075507066e+02,7.062682436764997362e+01
-5.692464302016671251e-02,-9.719788597181450163e-02,1.235192620453489168e-02,5.373923317282007872e+01,9.311807014523215287e+01,6.105416961297466116e+01
-5.458355337883620539e-02,-9.230732884200831823e-02,1.168973890288582500e-02,1.812114192187583939e+01,1.428800060720114971e+02,2.247632739357646869e+01
-5.627667603031688559e-02,-9.443955379155276331e-02,1.162698940990348866e-02,3.150124214045268545e+01,1.433889622220725073e+02,3.287308592414682806e+01
-5.469261144322933033e-02,-9.590133781907657362e-02,1.162839437809010112e-02,3.332420894104254927e+01,2.905901178237547811e+02,3.615854060546799786e+01
-5.517703603387401345e-02,-9.378899084707831291e-02,1.094049132397855589e-02,3.037446431338025832e+01,1.408222958734069508e+01,3.420747906688202988e+01
-5.424498751193446849e-02,-9.482361947256981449e-02,1.108067248680584538e-02,2.783395513836158486e+01,5.825471492257736372e+01,3.637266197433631021e+01
-5.579225143967220940e-02,-9.565410333845764113e-02,1.231489246401503562e-02,3.710876928356596238e+01,2.384960270224750545e+01,3.371965813737877227e+01
-5.532439529608733364e-02,-9.531129265265977923e-02,1.376227664478075173e-02,3.021514571968940643e+01,1.819778139102047305e+02,3.309137980156774717e+01
-5.383322450631878447e-02,-7.676566460352134136e-02,1.133173638328192727e-02,2.673858192010296619e+00,5.689568750291739363e+00,1.105112057253166036e+01
-5.471862023575169848e-02,-7.571149050923957347e-02,1.095019208347047801e-02,3.487382949638459628e+00,3.682626180390507376e+00,1.316741653696201197e+01
-5.368218091537958758e-02,-6.605709339618306974e-02,9.753909496950827554e-03,1.239007523540994749e+00,2.316932562011721153e+00,1.211538728562463163e+01
-5.359622754274247919e-02,-6.949881201591984192e-02,1.003663274511356132e-02,1.401539160392283989e+00,4.042027393265491320e+00,1.191670279599377302e+01
-5.430714243589214452e-02,-6.836811901281934778e-02,9.799800166481052038e-03,1.598452769634600257e+00,1.924648624636353667e+00,1.318376183681914782e+01
-5.380199576147314672e-02,-6.725702930891173936e-02,9.189727585537680807e-03,1.686939918284390716e+00,7.265680166900808423e+00,1.457025419900260310e+01
-5.411098037638381597e-02,-7.313622179193170203e-02,1.094991703793291027e-02,2.276841052433802304e+00,1.492389770302342988e+01,1.200335157266327180e+01
-5.452108951381643559e-02,-7.427968424057759811e-02,1.141669539945699106e-02,2.703383308681903685e+00,8.401909539394125659e+00,1.050620270832557068e+01
-5.476928923060253585e-02,-7.196021034829744312e-02,1.068090006067427822e-02,2.620899150778321918e+00,2.907868075474567160e+00,1.271234910101561155e+01
-5.424385067229189894e-02,-7.792579334109550615e-02,1.179953451994751948e-02,3.347087833282467173e+00,2.312633265094648607e+02,9.784159589585724959e+00
-5.463365545033856824e-02,-7.895552340897010746e-02,1.085623057284434458e-02,4.833046530329752066e+00,3.781992275030465755e+00,1.181758467790167444e+01
-5.540471755702129630e-02,-8.505759824908019906e-02,1.259240683583705799e-02,7.372581272697575017e+00,4.657393470972617138e+02,1.117604528431040301e+01
-5.585720052337782987e-02,-8.359226392830232388e-02,1.248510800762219104e-02,7.676575486577451812e+00,6.903581642157479159e+00,1.160443101644881203e+01
-5.552281256125909947e-02,-8.343980922166896463e-02,1.362731963254022044e-02,6.668422803574249436e+00,7.523010374711311954e+00,1.172181772059830784e+01
-5.507032959490255897e-02,-8.490514354244685369e-02,1.373461846075508738e-02,6.323903598834935025e+00,3.093920947642530805e+01,1.117022241351387279e+01
-5.419806615796515792e-02,-7.826691979700636792e-02,9.779668795681411425e-03,4.503205462580943674e+00,5.076580598948739720e+01,1.354781493186203889e+01
-5.579789398892376351e-02,-7.812431770458048985e-02,8.826617624523207598e-03,6.591075938611292706e+00,1.601300651905834371e+01,2.104036943890529088e+01
-5.588337580287739553e-02,-7.669254594396496261e-02,8.921598910290850712e-03,5.990599190202831714e+00,8.863977813193297806e+00,1.903319701359647453e+01
-5.428354797191878300e-02,-7.593735061129749941e-02,9.874650081449054539e-03,3.047169121982164164e+00,3.568174354314135877e-01,1.401859808522380391e+01
-5.339815224248586900e-02,-7.699152470557926731e-02,1.025619438126050380e-02,2.535982457882523633e+00,8.676875417739530860e+00,1.106424349154116804e+01
-5.216813572967544249e-02,-7.678445299029902638e-02,1.004614208338677935e-02,2.517087025785160748e+00,1.454386345389918844e+01,1.625714377711615199e+01
-5.458085455112375584e-02,-8.429735247812533694e-02,1.075697297098125726e-02,5.987652013141666174e+00,5.919135697090927906e+00,1.367332845878715375e+01
-5.544348690722725181e-02,-8.311050355404539514e-02,1.111653181407141339e-02,6.385086790639498133e+00,1.121506375450317883e+01,1.339230212660714869e+01
-5.450161770687095286e-02,-8.139819621686301965e-02,1.216425511185948230e-02,3.804852556922387219e+00,2.937970360377070023e+01,1.022050119430536874e+01
-5.489127627998611342e-02,-8.059933412777384176e-02,1.122066302796199434e-02,4.961350455227165668e+00,1.645339365337213167e+01,1.096811986649707471e+01
-5.402864392388261050e-02,-7.999058820166704553e-02,1.086110418487183996e-02,4.266490568353186852e+00,3.338362584120518051e+01,1.350684031025389942e+01
-5.370434240551314603e-02,-8.357658991421781924e-02,1.077519077818967289e-02,5.336863883319249879e+00,9.378068815535064573e+01,1.276496908105983863e+01
-5.456697476161664201e-02,-8.238974099013787744e-02,1.113474962127982901e-02,5.596857069304471466e+00,3.934499722655471654e+00,1.215796843342441136e+01
-5.495663333473180256e-02,-8.159087890104871343e-02,1.019115753738234105e-02,7.260100208970541757e+00,1.742874291338489274e+04,1.466522331178990690e+01
-5.156327191887853656e-02,-7.826172811500414772e-02,9.832663526678497856e-03,3.243625336789604852e+00,1.894164180912987883e+00,2.866505705936474868e+01
-5.146384321091612007e-02,-9.623466202352154442e-02,9.795748151628393824e-03,3.616493815280382762e+01,8.145332061868049323e+01,4.255265950043059320e+01
-5.269404850260293871e-02,-8.388185944124762483e-02,1.009504107334032418e-02,5.238088908466165705e+00,5.409631600065263335e+00,1.817839041198997307e+01
-5.155103153047588954e-02,-7.551754074149812090e-02,9.831744948020254213e-03,2.411338286291599964e+00,9.040388715321757473e+00,2.297683566389653009e+01
-7.532533089791904057e-02,-9.456663850258104076e-02,-7.304063215224930461e-02,8.915635103660203242e+01,2.857841294072355254e+02,1.101636192986567551e+02
-7.116139643463960385e-02,-9.003711289741625490e-02,-7.505232718441864903e-02,7.672908842654544515e+01,1.252113485107657198e+03,1.410079619277243239e+02
-5.557612504809979898e-02,-9.906079438120679592e-02,9.072228910734149443e-03,7.429006754652996847e+01,nan,7.502846841177101567e+01
-5.442666929114377272e-02,-9.816299695611341303e-02,9.375816444403762412e-03,7.123008220208069474e+01,5.177229837111237032e+01,5.991291267625889816e+01
-5.291027311659802362e-02,-9.852584924244597864e-02,9.451549051714946623e-03,6.757556978156753758e+01,4.214901086774471537e+02,6.768069543949758327e+01
-5.264386979832819113e-02,-9.750701976425923956e-02,8.790749583924206342e-03,5.371897064975946279e+01,3.069892327890147499e+01,7.735357806718589302e+01
-5.416026597287394717e-02,-9.714416747792670170e-02,8.715016976613022132e-03,5.904676338302760286e+01,2.894823313610359037e+02,6.018376212591764585e+01
-5.703178909308274924e-02,-9.802393577578635830e-02,8.002996447187171042e-03,7.332790767058429537e+01,2.150317029870541603e+02,7.158001676332641239e+01
-5.771097386257961065e-02,-9.896314139457956793e-02,6.842652304673361476e-03,8.646610424986305077e+01,nan,9.459932813851902722e+01
-5.963297731064659546e-02,-9.896314139457956793e-02,7.724439109171041609e-03,8.914357048509074843e+01,nan,8.947491716840589504e+01
-8.319713635277103947e-02,-8.157730574681525126e-02,-5.364779935677052580e-02,1.763594500299043588e+01,3.142462538472328220e+02,1.103735319096635266e+02
-8.981847588728997245e-02,-9.237339078014791816e-02,-5.495030353275168200e-02,3.579912648579768586e+01,4.051818573400016277e+01,1.084639675172725219e+02
-9.291569544879668685e-02,-9.605137209445027691e-02,-4.984633322245926590e-02,8.900627615147090665e+00,nan,1.007288116065729042e+02
-8.849924071107481693e-02,-9.632201868569764680e-02,-5.982756938191112484e-02,7.332033961762542162e+01,nan,1.004212749844027854e+02
-8.362403676427648813e-02,-8.863277172055997188e-02,-5.263037734399473450e-02,4.008008761822682686e+01,1.336968209977884953e+03,1.068204842459784487e+02
-5.278240227006544827e-02,-8.757201132079182881e-02,9.886480203176147355e-03,9.455516006674985263e+00,8.538501394776636388e+00,2.031474186127633885e+01
-5.427263207555724223e-02,-8.770685983778561678e-02,1.008440576441637856e-02,9.536982493987055776e+00,1.316820014456314603e+01,1.621282064128861222e+01
-5.520468059749678719e-02,-8.936562348757425001e-02,9.944224601589087345e-03,1.728002902534343121e+01,3.828773977832815234e+01,2.231918790423651799e+01
