# x,y,z,B_x_err,B_y_err,B_z_err
-9.690278043849326339e-02,-8.855003836516942006e-02,-6.022653045012486828e-02,nan,1.198836567243534319e+03,1.032608619923331901e+02
-9.359145120352083125e-02,-9.399135257784799191e-02,-7.568148544588768067e-02,4.139109296316366482e+01,5.094878901018915052e+00,1.056504913577502123e+02
-9.800790594124270116e-02,-8.339487518531435439e-02,-8.045272621951218839e-02,nan,9.519844343461372205e+01,1.209550530414750824e+02
-9.800790594124270116e-02,-9.088867744297618456e-02,-7.993081800299341177e-02,nan,4.110445382217059063e+01,1.030978931116755177e+02
-9.214413409639625463e-02,-6.585020269809900573e-02,-9.264726951967874879e-02,2.984651929088260758e+01,5.175587869160594323e+01,1.935188039713454771e+02
-8.815994597888163198e-02,-7.106359499182844652e-02,-8.892520795271791068e-02,5.004239212610876564e+01,9.628290205493826193e+01,1.665538595281752237e+02
-8.798749734488475749e-02,-6.093869828625149421e-02,-9.712536130315999050e-02,7.966788842503478918e+01,1.226930238687895667e+02,nan
-9.575947766541297035e-02,-6.059020606607946197e-02,-8.856482780950379607e-02,nan,9.242266317318130575e+01,1.492355235537287967e+02
-9.584336324848852229e-02,-4.986256350781292229e-02,-9.591755828982506671e-02,nan,9.644842336675290539e+01,nan
-9.160284091390148709e-02,-5.567870165423195739e-02,-9.304291959298503778e-02,1.128451560245548890e+01,1.933945083893693209e+02,3.082612571331605977e+02
-8.784524778183175342e-02,-8.953807642184433147e-02,-6.768174968271280234e-02,5.593165337073308052e+01,2.288250173054313109e+03,1.083651439467952997e+02
-8.938263990478846621e-02,-8.603614617674087972e-02,-7.698003760195284984e-02,3.213731529141634269e+01,2.583287779214130751e+03,1.193019026038308397e+02
-8.895037328458119119e-02,-9.082275388301142005e-02,-7.321674858893997828e-02,6.236273323183093709e+01,2.236268531093671754e+02,1.084298206175510586e+02
-8.070981065494237106e-02,-9.204479359889286560e-02,-8.217299961248968054e-02,6.673737770158830074e+01,6.799332221112958052e+01,1.297167746258991201e+02
-8.614709279787297058e-02,-8.965148974575759544e-02,-8.134316684743286840e-02,6.796556523444350262e+01,2.139985062585621378e+01,1.147207165023829845e+02
-8.027754403473508216e-02,-9.683140130516343369e-02,-7.840971059947682287e-02,8.241085167001980949e+01,nan,1.117985352997904727e+02
-8.571482617766569556e-02,-9.443809745202814965e-02,-7.757987783441999685e-02,8.294613074121923546e+01,1.274831787649275014e+02,1.016238441415692222e+02
-7.536496856085653229e-02,-8.751526799372810750e-02,-7.980834800986351396e-02,7.374755098685849930e+01,3.006755216948521934e+02,1.548736705716549409e+02
-7.071585187929549376e-02,-8.841910388598228643e-02,-8.453625709290903123e-02,8.706692474019565964e+01,1.507073447579814638e+04,1.617293015204633946e+02
-9.756714944992131433e-02,-6.412225095967634403e-02,-6.992429517398678074e-02,nan,1.774666272509781777e+02,1.207846616271583997e+02
-9.756714944992131433e-02,-7.198293816998646566e-02,-7.032857676226192400e-02,nan,8.521072376416174166e+01,1.159140519083211558e+02
-9.332662711533426525e-02,-6.168359198157946643e-02,-8.090455885307626382e-02,2.059851050340184599e+02,1.812938950990891840e+02,1.121109321793084490e+02
-9.446992988841457217e-02,-7.579875911334593708e-02,-6.491063885603556849e-02,2.365839497006311092e+02,1.365641494296629048e+02,1.145528978412858692e+02
-9.756714944992131433e-02,-5.939142305583357956e-02,-7.590278277098293225e-02,nan,3.376108212564400901e+02,1.219076233674708334e+02
-9.005594448721257472e-02,-7.235863670861794605e-02,-6.060914371106199128e-02,4.238409704997577165e+01,4.676615970329723382e+02,1.059681363009224526e+02
-8.939157547578452379e-02,-7.731662288756821488e-02,-5.590679623835637102e-02,3.237295279593327280e+01,1.249364868502995733e+02,1.032120715007866352e+02
-9.332443883743135604e-02,-6.156357234281601559e-02,-6.267506075961984391e-02,2.085492729086631698e+02,9.505920863309482627e+01,1.002389286033931626e+02
-8.891045343622935859e-02,-6.598413714839813926e-02,-5.877784720292139609e-02,6.785366432377477963e+01,4.455179665763452590e+01,1.096862326083679875e+02
-9.124544918894872403e-02,-4.566476824956108849e-02,-9.304291959298505166e-02,2.523361517204256277e+00,5.459749883323588904e+01,2.702318044233910541e+02
-8.700492685436167495e-02,-5.148090639598012358e-02,-9.016828089614503661e-02,4.282158226842135207e+01,8.452421967672648861e+01,2.308271988446504679e+02
-9.770104297023007867e-02,-3.989126087970713830e-02,-8.633395996933816707e-02,nan,1.095974485268690017e+02,1.030031177887853602e+02
-9.310312891069029428e-02,-4.328742956953336718e-02,-8.759424377639236925e-02,2.928116341893823460e+02,8.258465868273832200e+01,2.000585063746174228e+02
-9.375393592317135538e-02,-3.514684570541118380e-02,-8.699680266826631536e-02,2.719083792035125384e+02,1.167509619318295790e+02,1.953019375207848896e+02
-8.915602186363158488e-02,-3.854301439523741962e-02,-8.825708647532053142e-02,5.482656481035127172e+01,8.766852804416832612e+01,4.513078851360669432e+02
-5.451814822889505807e-02,-8.869953982125883263e-02,1.179173196311838340e-02,1.035717458820766446e+01,4.944871347196045974e+01,1.615871765267843330e+01
-5.410580788070216279e-02,-8.752921774474856087e-02,1.132053615352130241e-02,7.909328438301613140e+00,2.049516722524182910e+01,1.614685970557268391e+01
-5.504004736108764062e-02,-9.007981807434951860e-02,1.118469312898606911e-02,1.575633012331505078e+01,6.379247472681861097e+00,2.152645746561995210e+01
-5.498232002631277260e-02,-8.645438545846934053e-02,1.130231834631288505e-02,9.886455300607533303e+00,6.766316348834821248e+00,1.677392450750372888e+01
-5.451502072015190770e-02,-8.511755663925434090e-02,1.178553799620034315e-02,6.311219999204033648e+00,3.572229842318119353e+01,1.241249637415310048e+01
-5.416249271256264042e-02,-9.115771920008507168e-02,1.120084628055513336e-02,1.341879251734008704e+01,2.202505340222745644e+01,2.233126240401296414e+01
-5.493895007989324508e-02,-9.928212349632001277e-02,1.191456517980538782e-02,6.277422570159937720e+01,nan,6.893801576420975152e+01
-5.427155077695577229e-02,-9.744512045243344800e-02,1.113950175575940948e-02,4.722483837671595097e+01,8.441587922115795095e+01,5.780720557291967054e+01
-5.649240232666130623e-02,-9.928212349632001277e-02,1.244049154265593551e-02,7.045959109430121714e+01,nan,6.882091150897954890e+01
-5.542100653391178466e-02,-9.834291787752680314e-02,1.083591422208979999e-02,5.676438827325462455e+01,1.109340284047851455e+01,7.399059196475262468e+01
-5.697445878067985275e-02,-9.834291787752681702e-02,1.136184058494034595e-02,6.801632265949569955e+01,2.904150032663131924e+02,6.735923688031684264e+01
-5.692464302016671251e-02,-9.719788597181450163e-02,1.235192620453489168e-02,5.464288757214254133e+01,3.167845649425854049e+01,5.880419385488320927e+01
-5.458355337883620539e-02,-9.230732884200831823e-02,1.168973890288582500e-02,1.716634825858683655e+01,1.569189156409211421e+02,2.261106216327693019e+01
-5.627667603031688559e-02,-9.443955379155276331e-02,1.162698940990348866e-02,3.183598571133260435e+01,1.605212525290163228e+02,3.237018730764574315e+01
