# x,y,z,B_x_err,B_y_err,B_z_err
-5.427155077692499829e-02,-9.744512045240000253e-02,1.113950175575499982e-02,2.589757837694298814e+01,3.488836381920094709e+01,1.565683993444802091e+01
-5.649240232662500194e-02,-9.928212349630000100e-02,1.244049154264999929e-02,2.540437574944369103e+01,2.516673018292552655e+01,3.859205649018561246e+01
-5.542100653387500159e-02,-9.834291787750000513e-02,1.083591422208500001e-02,1.011571173723939232e+01,2.761187721531590000e+02,1.524330174959090201e+01
-5.697445878065000163e-02,-9.834291787750000513e-02,1.136184058493499953e-02,4.137811022156888008e+00,1.871570879860851377e+01,1.112439290174279272e+01
-5.692464302014999672e-02,-9.719788597177500544e-02,1.235192620452999976e-02,1.953392675432382708e+00,3.181453382299061161e+01,5.777192853570190856e+00
-5.458355337879999825e-02,-9.230732884195000376e-02,1.168973890287999980e-02,1.166105176533955179e+00,3.273998962901593046e+01,1.737982949054951709e-01
-5.627667603027500243e-02,-9.443955379149999996e-02,1.162698940989799999e-02,4.886856759144328488e-01,7.039057966005274558e+00,7.491757627278150533e-01
-5.469261144319999962e-02,-9.590133781902500376e-02,1.162839437808499930e-02,2.060979109133340148e-01,3.299797080206795385e+02,3.001246781468635216e+00
-5.517703603382499711e-02,-9.378899084702499445e-02,1.094049132397200037e-02,1.264274787891444873e+00,1.599786131283258972e-01,7.361176434984605388e-01
-5.424498751190000301e-02,-9.482361947252500312e-02,1.108067248679999936e-02,1.634756577994272986e+00,1.656350341818168559e+01,2.850432974347743897e+00
-5.579225143964999800e-02,-9.565410333840000667e-02,1.231489246400999972e-02,4.839357180342797271e+00,1.204654425231858816e+01,1.796088980060925044e-01
-5.532439529607500323e-02,-9.531129265259999372e-02,1.376227664477499939e-02,6.051702433122844837e+00,2.580293521831990589e+01,1.044757264475334901e+00
-5.383322450627500005e-02,-7.676566460344999565e-02,1.133173638327799986e-02,1.017915247280363755e-01,5.445528557927934443e-01,1.400568209271833287e-01
-5.471862023569999678e-02,-7.571149050917500012e-02,1.095019208346499975e-02,1.106666205950457421e-01,3.607258568502637042e-01,1.696067495343021037e-01
-5.368218091535000014e-02,-6.605709339614999898e-02,9.753909496945000618e-03,9.125191805673348033e-02,6.638717709688415902e-02,5.075537322184020539e-02
-5.359622754272500011e-02,-6.949881201587500279e-02,1.003663274510999993e-02,1.796859432072009030e-02,6.946115165335942088e-01,9.419302244012456304e-02
-5.430714243587499851e-02,-6.836811901277499437e-02,9.799800166477499325e-03,2.566262502086270533e-02,1.039396518423595372e+00,9.865354222859884503e-02
-5.380199576144999857e-02,-6.725702930887500486e-02,9.189727585532499188e-03,6.639104839388038082e-02,2.250010377217333435e+00,7.667510675384421603e-02
-5.411098037635000274e-02,-7.313622179187499739e-02,1.094991703792799927e-02,5.967324361009028466e-02,9.973524119092345153e-01,7.160080184167821882e-02
-5.452108951377500345e-02,-7.427968424049999352e-02,1.141669539945200026e-02,5.235659177911519691e-02,5.801467317325772477e-01,8.131575755766443092e-02
-5.476928923057500231e-02,-7.196021034824999496e-02,1.068090006067000039e-02,9.341265640417235894e-02,3.040796061860520094e-01,1.083149036567810225e-01
-5.424385067225000190e-02,-7.792579334102499311e-02,1.179953451994199959e-02,9.214861303846305640e-02,2.522811550151577364e+01,1.410562476994526304e-01
-5.463365545030000187e-02,-7.895552340889999687e-02,1.085623057283800069e-02,1.793125465172040744e-01,2.591579827653812118e-01,1.595365165594341827e-01
-5.540471755697500000e-02,-8.505759824902499322e-02,1.259240683583300047e-02,2.851193641626860731e-01,2.582356552566613672e+00,1.925719341812828500e-01
-5.585720052332499713e-02,-8.359226392825000462e-02,1.248510800761799995e-02,2.545046367920196784e-01,3.588969176538674144e-02,2.972206675931999831e-01
-5.552281256120000091e-02,-8.343980922162499980e-02,1.362731963253500066e-02,4.288120879993414514e-01,6.741544742253915423e-01,3.298408106860084565e-01
-5.507032959484999685e-02,-8.490514354240000228e-02,1.373461846074999944e-02,2.587535704922683255e-01,4.240298473851223937e-01,1.816571529999942425e-01
-5.419806615792500254e-02,-7.826691979694999635e-02,9.779668795674999887e-03,9.493733483266905693e-02,4.118145669298913347e+00,2.645961189668027957e-01
-5.579789398887499696e-02,-7.812431770452500646e-02,8.826617624517500357e-03,2.129203566029365113e-01,9.990451987005934953e-01,4.001179542729855765e-01
-5.588337580282499994e-02,-7.669254594392499458e-02,8.921598910284999490e-03,1.763365170405903626e-01,8.296492696899656627e-01,3.457864345575847320e-01
-5.428354797187499858e-02,-7.593735061124999575e-02,9.874650081442500754e-03,6.677002333249092147e-02,1.301439217701340634e-01,1.726163013896342968e-01
-5.339815224245000186e-02,-7.699152470552500516e-02,1.025619438125499952e-02,2.219568316048169468e-02,1.831839044189260468e+00,1.408187463026191466e-01
-5.216813572964999757e-02,-7.678445299024999615e-02,1.004614208338200018e-02,1.898235098612773009e-02,1.066542208785174584e+00,5.383578657323249278e-02
-5.458085455107500317e-02,-8.429735247807500220e-02,1.075697297097500012e-02,2.567320115765703847e-01,9.101455581003865536e-01,1.894891941321191486e-01
-5.544348690717500194e-02,-8.311050355397499312e-02,1.111653181406500011e-02,2.720370001449065045e-01,4.576212973875583678e+00,2.777442939253288445e-01
-5.450161770682499657e-02,-8.139819621680000061e-02,1.216425511185299964e-02,1.560752969496264631e-01,3.833194047360024115e+00,1.024032539792293084e-01
-5.489127627995000341e-02,-8.059933412769999805e-02,1.122066302795499994e-02,2.345629577305361479e-01,3.406372193018817551e+00,1.128333734228669366e-01
-5.402864392384999770e-02,-7.999058820160000194e-02,1.086110418486499994e-02,2.354105684968018919e-01,2.691735827723225061e+00,1.487312904510141864e-01
-5.370434240547500293e-02,-8.357658991417500627e-02,1.077519077818299940e-02,2.159595872558781049e-01,6.802550816604495232e+00,5.235116546154833239e-02
-5.456697476157500171e-02,-8.238974099007499718e-02,1.113474962127299940e-02,2.241118979600703609e-01,8.661067564920665873e-01,1.367610331400120616e-01
