# x,y,z,J_x_err,J_y_err,J_z_err
-4.809209288379599073e-02,-9.910043737540788489e-02,1.754249383005777874e-02,1.229860629874181055e+13,6.533436759095659907e-01,4.177309249005011719e+13
-4.768292985043319498e-02,-9.883999375865831771e-02,1.133455017945821444e-02,1.930645858163548212e+02,2.349263487863257005e+00,2.134421622245663457e+02
-4.890942473127934259e-02,-9.826364042619764594e-02,1.080421488651308985e-02,2.224001354667158239e+02,1.965717587086935447e+00,2.177346823093953674e+02
-4.688233066202779353e-02,-9.794320426891953146e-02,1.185831672867036085e-02,4.061662263803842734e+02,1.721420463570186632e+00,1.317331275963761641e+02
-4.613952727886706101e-02,-9.808544441721300799e-02,1.281069080477660257e-02,7.150213074610155672e+02,1.721420463573920978e+00,8.130678344906264954e+01
-5.087861008838582416e-02,-9.848782994500543397e-02,1.173216075174421044e-02,2.574200982642526014e+02,1.103198557084570597e+00,9.260132886870920288e+01
-5.203527423003555946e-02,-9.816638585237272285e-02,1.226441487773018320e-02,2.731942478754119747e+02,5.165707464216181544e-01,4.226973420819642342e+03
-5.061110614341873815e-02,-9.906418327746607799e-02,1.427724817125032575e-02,7.874071990199458008e+12,1.459145993252248807e+00,nan
-5.248289816133042129e-02,-9.744850934869273007e-02,1.281213676901443721e-02,7.727150102665194709e+01,9.318485451263880393e-01,1.720607083160981290e+02
-4.798445063082115020e-02,-9.700738754638560390e-02,1.202458880914036854e-02,3.126098787360053279e+02,1.295700052914290912e-01,2.168244115723897281e+01
-5.124130173067407978e-02,-9.906418327746607799e-02,1.283477494627192211e-02,1.470668321821868945e+13,1.132254744133130986e+00,nan
-5.167258258774730384e-02,-9.759003251991205108e-02,1.116180068320246979e-02,4.742413053294212943e+01,5.165707464192866860e-01,5.360641582814498918e+01
-4.961308981262449458e-02,-9.803943520013599922e-02,1.218134885148813851e-02,9.419330945151056085e+02,1.624213402011203344e+00,1.929305561583316546e+02
-4.921094551166729780e-02,-9.732782370366374614e-02,1.149425351619524395e-02,2.874307039500286010e+02,6.989239404642983988e-01,5.014478296402320723e+01
-4.948909150570985488e-02,-9.809034725749164740e-02,1.436552956155385911e-02,2.906828274831408407e+02,1.591962429034670334e+00,1.925098796092765951e+03
-4.592535513068950886e-02,-9.629943208835485546e-02,1.391641888363250035e-02,9.610919045609026057e+01,4.586518073227963121e-01,1.566417942820229712e+02
-4.884632806012900036e-02,-9.902616398002554721e-02,1.497126195521709252e-02,3.304251972286277344e+12,1.173384006619002218e+00,4.374503233654892578e+12
-4.700603799472619082e-02,-9.743710515803155614e-02,1.654388134367031776e-02,4.945301869795402183e+01,1.185387773228633090e+00,3.717274844768788853e+02
-4.580701695204617008e-02,-9.650672538069174355e-02,1.510877125155241779e-02,8.198450479289202519e+01,4.324144301320297923e-01,8.957879160753385861e+01
-4.660669916429258097e-02,-9.711160839723857741e-02,1.347125109666272302e-02,5.550066277275171700e+01,1.950313843595276875e-01,6.430163849382853414e+01
-4.645229639754275969e-02,-9.592050421479056399e-02,1.701726802924945908e-02,7.053664428948930976e+00,1.284954190894554149e-01,3.950595770464722136e+02
-4.591448400939344282e-02,-9.555949578562952795e-02,1.584653973285583134e-02,7.567781144002580618e+01,1.042348551236819271e-01,4.201016535496611226e+01
-4.885376681720386693e-02,-9.764195251262224040e-02,1.337224443631938181e-02,5.264788139273615570e+02,1.679689868638605033e+00,4.156341942320206044e+02
-4.647616973246187361e-02,-9.776729643444487250e-02,1.531443596991807765e-02,8.965635036493300447e+01,1.109123238353726393e+00,5.412014028783489721e+02
