a_field_0,a_field_1,a_field_2,x_0,x_1,x_2
-67233572582.435,-127306228770.15,62401244930.348,-0.091602840913875,-0.055678701654175,-0.093042919592975
-90390422808.559,-65980834633.746,494980895450.68,-0.0878452477818,-0.0895380764218,-0.067681749682675
-88576430399.385,-43334279337.056,265360053651.72,-0.08938263990475,-0.0860361461767,-0.0769800376019
-90879120199.816,-67388143177.759,273333948114.58,-0.08895037328455,-0.090822753882975,-0.0732167485889
-187248338820.97,-43751818663.397,282497791488.34,-0.0807098106549,-0.092044793598875,-0.08217299961245
-73653569910.681,-58166723761.984,256328625330.95,-0.086147092797825,-0.089651489745725,-0.081343166847375
-188502935856.74,-60326860801.817,294960224969.26,-0.0802775440347,-0.09683140130515,-0.07840971059945
-82525404030.072,-68025689207.279,266363386905.66,-0.085714826177625,-0.094438097452,-0.077579877834375
-220816282431.39,-67734049866.803,278021574587.1,-0.0753649685608,-0.0875152679937,-0.079808348009825
-205297721472.79,-55015189359.809,239167458818.03,-0.070715851879225,-0.08841910388595,-0.08453625709285
-93581115244.818,-222875671188.07,315703745696.53,-0.0975671494499,-0.064122250959625,-0.069924295173925
-148703396283.45,-103517044791.61,304853624726.6,-0.0975671494499,-0.07198293816995,-0.0703285767622
-29300117534.577,-138752776451.25,229210798805.55,-0.0933266271153,-0.061683591981525,-0.080904558853025
-21863486025.788,-165574504394.36,409991851471.24,-0.094469929888375,-0.0757987591133,-0.064910638855975
-14292360976.83,-139591272275.06,218109282435.18,-0.0975671494499,-0.059391423055775,-0.075902782770925
-18829777083.851,-163547578049.35,413830612565.63,-0.09005594448715,-0.072358636708575,-0.060609143711
-81040863941.84,-213185265558,546749307749.43,-0.089391575475725,-0.077316622887525,-0.0559067962383
-52261440631.204,-188369345859.24,370590139433.15,-0.0933244388374,-0.061563572342775,-0.062675060759575
-23180405437.44,-252742087121.3,375785537713.71,-0.088910453436175,-0.065984137148375,-0.058777847202875
-72975007849.266,-177532305033.79,60576352689.898,-0.091245449188925,-0.0456647682495,-0.093042919592975
-87907730170.926,-145340047605.11,42795063292.753,-0.087004926854325,-0.0514809063959,-0.090168280896125
-152806996.89953,-173504551287.15,62813842719.674,-0.097701042970225,-0.03989126087965,-0.086333959969325
-85781987998.562,-103435507101.44,101738463554.74,-0.093103128910675,-0.043287429569475,-0.087594243776375
-48431782696.867,-204034605039.24,81966283594.957,-0.09375393592315,-0.035146845705375,-0.08699680266825
-96799346091.887,-157678776720.76,104223178446.63,-0.0891560218636,-0.0385430143952,-0.0882570864753
4798735714736.4,-16872448661788,5798226666023,-0.054518148228875,-0.0886995398212,0.011791731963112
5171585155108.8,-15222649475060,3937238695280.5,-0.054105807880675,-0.0875292177447,0.011320536153515
5058288814417.8,-15517100358129,6809250172187.5,-0.05504004736105,-0.0900798180743,0.01118469312898
2502631182355.2,-11950364925690,3544428651220.9,-0.054982320026275,-0.086454385458425,0.011302318346308
2561814618513.2,-11632479978403,3786044828489.5,-0.0545150207201,-0.0851175566392,0.011785537996195
12614347145726,-24981618390842,7947531189672.9,-0.054162492712525,-0.091157719200025,0.01120084628055
85155628305863,-82275998533370,55710360725670,-0.05493895007985,-0.0992821234963,0.0119145651798
32945074680095,-89696129245173,22766715302633,-0.054271550776925,-0.0974451204524,0.011139501755755
95068971034195,-85306246462174,50092948893197,-0.056492402326625,-0.0992821234963,0.01244049154265
1.0150632828135e+14,-24846667184485,-6197340126804.1,-0.055421006533875,-0.0983429178775,0.010835914222085
51935597422683,-18225115102292,29085788426727,-0.05697445878065,-0.0983429178775,0.011361840584935
60161197646436,-30626228794519,20201695507871,-0.05692464302015,-0.097197885971775,0.01235192620453
11204491642796,-29587476127625,12825709404381,-0.0545835533788,-0.09230732884195,0.01168973890288
18516745315213,-18707439220076,13607782844430,-0.056276676030275,-0.0944395537915,0.011626989409898
31568189935777,-55692154119211,32811411454582,-0.0546926114432,-0.095901337819025,0.011628394378085
11857914604444,-18943412678915,18870873077637,-0.055177036033825,-0.093788990847025,0.010940491323972
34409279398967,-47037655308341,23822919925310,-0.0542449875119,-0.094823619472525,0.0110806724868
43925226639849,-56703887573599,24187241382360,-0.05579225143965,-0.0956541033384,0.01231489246401
37714161674821,-58244873162085,-251199440519.8,-0.055324395296075,-0.0953112926526,0.013762276644775
720535796531.28,-5655391890476.2,1129121581386.9,-0.053833224506275,-0.07676566460345,0.011331736383278
124586756450.19,-5179556202175.3,855955617153.65,-0.0547186202357,-0.075711490509175,0.010950192083465
-163396557968.45,-2779767960423.8,638979069059.46,-0.05368218091535,-0.06605709339615,0.009753909496945
-95749619621.148,-3399965231000.4,818183803999.19,-0.053596227542725,-0.069498812015875,0.01003663274511
-306411151753.28,-3133633202828,720292014122.18,-0.054307142435875,-0.068368119012775,0.0097998001664775
