b_field_0,b_field_1,b_field_2,x_0,x_1,x_2
76.650529232294,24.203282346704,59.730232311663,-0.096897324865125,-0.08866130684225,-0.096763981977125
108.66281451781,42.87444409408,44.3820009608,-0.09490523080635,-0.0912680029891,-0.092402951193625
85.176761206047,21.202122137159,-0.20605345819646,-0.098007905941225,-0.094504021011975,-0.087402951193625
109.42598944989,46.903521675683,89.065912494069,-0.091669683699425,-0.094370678123975,-0.0925299652713
72.277393910966,32.848894763832,66.318316849542,-0.0886617777582,-0.096763981977125,-0.0968909960548
75.543591559534,9.6277001837082,18.399851440542,-0.0947723588343,-0.09760669614685,-0.0875299652713
140.76872962086,119.12908062833,4.3134998045865,-0.090355904096575,-0.09760669614685,-0.080044614691325
567.31889318537,136.93981014988,10.517855914682,-0.096902780438475,-0.091894735342925,-0.050232076901325
-15.63695948302,37.005640094806,155.69137223828,-0.068280429197775,-0.0977352371974,-0.09373197420765
6.4159053467775,112.26093156326,246.63411989445,-0.0682160031418,-0.0932571454139,-0.097263172226075
92.786412359352,74.229196455184,147.04785549146,-0.08035088857385,-0.095213392293725,-0.0896377364694
87.915691124441,-36.865884417106,110.78557453291,-0.084677589640675,-0.09197737427085,-0.093168934487825
150.97260608846,32.020359909285,325.81030519583,-0.080419334489925,-0.08749928248735,-0.096277938433025
186.31949868449,181.60401232098,374.29523818743,-0.074231815024275,-0.088470537707625,-0.0935411106591
180.06467552015,115.55505440602,318.79120065268,-0.07429624108025,-0.092948629491125,-0.090009912640675
194.81067190972,104.27190594658,497.00997886359,-0.0818039909209,-0.080027149296675,-0.096277938433025
185.82316484497,6.4115077308912,124.16308869988,-0.090921042688825,-0.086481395282825,-0.08868088962665
129.86504605647,-25.309751239906,92.576592612806,-0.0929131367476,-0.083874699135975,-0.09304192041015
105.45793348121,-79.252516764211,238.64090489532,-0.0876854955819,-0.0895840704177,-0.088807903704325
139.36181999822,48.298683539489,235.90295144903,-0.089297793178575,-0.079505241080175,-0.096277938433025
373.76348003598,66.922214495433,140.83948589804,-0.096015811882475,-0.079616914901175,-0.08856382862665
368.96584656704,156.82058223957,297.3255324315,-0.09240046831345,-0.075247456845375,-0.091799846649525
270.67497692465,23.821638889971,179.18994030314,-0.096384656430975,-0.07003406455165,-0.0955219082165
549.15241199543,161.0290666126,167.88692818985,-0.0940237178237,-0.082223611048025,-0.08420279784315
1502.9001803857,177.94070326777,27.626268287938,-0.09380556087695,-0.08021545210975,-0.055275117904425
814.17955330001,227.72331321248,69.247647459529,-0.09380556087695,-0.0882167540286,-0.0553360472116
441.02226821638,30.256354895184,-61.590514728475,-0.09248632570075,-0.09270667511665,-0.065146486539625
1379.2071287339,93.99538970004,190.68412723263,-0.096902780438475,-0.080548736446275,-0.0601656011429
212.16330295398,84.102590578319,31.067141258102,-0.095583545262275,-0.096384656430975,-0.07004251622935
581.68356127867,130.16270167849,162.32536984506,-0.0940237178237,-0.081710942613875,-0.07996668267535
710.13489443912,126.39064811163,85.602613025938,-0.096902780438475,-0.088550038365125,-0.060226530450075
268.097058362,111.71224348115,81.421528951356,-0.0935914512035,-0.093991352577825,-0.07568148544585
623.85842233843,4.6604259176767,173.37019161999,-0.098007905941225,-0.083394875185275,-0.08045272621945
317.21312414834,117.3652551277,29.18431146337,-0.098007905941225,-0.09088867744295,-0.07993081800295
323.48270558634,-118.89697620413,368.2248961259,-0.092144134096375,-0.06585020269805,-0.09264726951965
422.4714679707,-6.7858090451842,485.34853335811,-0.08815994597885,-0.071063594991775,-0.088925207952675
192.68345579777,66.338649428145,493.68013701613,-0.08798749734485,-0.0609386982862,-0.09712536130315
737.15013753971,-14.373088887209,319.62802885969,-0.0957594776654,-0.060590206066025,-0.088564827809475
376.59011414072,-13.449690614018,320.41568965927,-0.095843363248475,-0.049862563507775,-0.095917558289825
566.47804400831,238.40961760134,532.56378692022,-0.091602840913875,-0.055678701654175,-0.093042919592975
564.95387593126,138.04654672451,133.24979854385,-0.0878452477818,-0.0895380764218,-0.067681749682675
489.37522536972,122.7711402839,262.7099708087,-0.08938263990475,-0.0860361461767,-0.0769800376019
272.90068877951,100.87137447889,134.12976811036,-0.08895037328455,-0.090822753882975,-0.0732167485889
370.17227998824,224.63563069546,191.86865253859,-0.0807098106549,-0.092044793598875,-0.08217299961245
333.77540799546,45.463042169013,132.57648852172,-0.086147092797825,-0.089651489745725,-0.081343166847375
202.78898147487,165.73766373685,96.685483535284,-0.0802775440347,-0.09683140130515,-0.07840971059945
175.28133154683,73.167604757707,19.672038262308,-0.085714826177625,-0.094438097452,-0.077579877834375
340.59092617057,230.40156338194,382.81845523631,-0.0753649685608,-0.0875152679937,-0.079808348009825
221.39449363812,138.32601590112,305.07126557876,-0.070715851879225,-0.08841910388595,-0.08453625709285
1726.2184154855,166.92445445403,345.80464614866,-0.0975671494499,-0.064122250959625,-0.069924295173925
1301.5787264936,-34.123190182318,291.46753630546,-0.0975671494499,-0.07198293816995,-0.0703285767622
1343.7645612234,133.15774992325,97.368893950543,-0.0933266271153,-0.061683591981525,-0.080904558853025
1421.0646980019,244.80282491713,311.95482149322,-0.094469929888375,-0.0757987591133,-0.064910638855975
