electric_potential_0,x_0,x_1,x_2
0,-0.096897324865125,-0.08866130684225,-0.096763981977125
0,-0.09490523080635,-0.0912680029891,-0.092402951193625
0,-0.098007905941225,-0.094504021011975,-0.087402951193625
0,-0.091669683699425,-0.094370678123975,-0.0925299652713
0,-0.0886617777582,-0.096763981977125,-0.0968909960548
0,-0.0947723588343,-0.09760669614685,-0.0875299652713
0,-0.090355904096575,-0.09760669614685,-0.080044614691325
0,-0.096902780438475,-0.091894735342925,-0.050232076901325
0,-0.068280429197775,-0.0977352371974,-0.09373197420765
0,-0.0682160031418,-0.0932571454139,-0.097263172226075
0,-0.08035088857385,-0.095213392293725,-0.0896377364694
0,-0.084677589640675,-0.09197737427085,-0.093168934487825
0,-0.080419334489925,-0.08749928248735,-0.096277938433025
0,-0.074231815024275,-0.088470537707625,-0.0935411106591
0,-0.07429624108025,-0.092948629491125,-0.090009912640675
0,-0.0818039909209,-0.080027149296675,-0.096277938433025
0,-0.090921042688825,-0.086481395282825,-0.08868088962665
0,-0.0929131367476,-0.083874699135975,-0.09304192041015
0,-0.0876854955819,-0.0895840704177,-0.088807903704325
0,-0.089297793178575,-0.079505241080175,-0.096277938433025
0,-0.096015811882475,-0.079616914901175,-0.08856382862665
0,-0.09240046831345,-0.075247456845375,-0.091799846649525
0,-0.096384656430975,-0.07003406455165,-0.0955219082165
0,-0.0940237178237,-0.082223611048025,-0.08420279784315
0,-0.09380556087695,-0.08021545210975,-0.055275117904425
0,-0.09380556087695,-0.0882167540286,-0.0553360472116
0,-0.09248632570075,-0.09270667511665,-0.065146486539625
0,-0.096902780438475,-0.080548736446275,-0.0601656011429
0,-0.095583545262275,-0.096384656430975,-0.07004251622935
0,-0.0940237178237,-0.081710942613875,-0.07996668267535
0,-0.096902780438475,-0.088550038365125,-0.060226530450075
0,-0.0935914512035,-0.093991352577825,-0.07568148544585
0,-0.098007905941225,-0.083394875185275,-0.08045272621945
0,-0.098007905941225,-0.09088867744295,-0.07993081800295
0,-0.092144134096375,-0.06585020269805,-0.09264726951965
0,-0.08815994597885,-0.071063594991775,-0.088925207952675
0,-0.08798749734485,-0.0609386982862,-0.09712536130315
0,-0.0957594776654,-0.060590206066025,-0.088564827809475
0,-0.095843363248475,-0.049862563507775,-0.095917558289825
0,-0.091602840913875,-0.055678701654175,-0.093042919592975
0,-0.0878452477818,-0.0895380764218,-0.067681749682675
0,-0.08938263990475,-0.0860361461767,-0.0769800376019
0,-0.08895037328455,-0.090822753882975,-0.0732167485889
0,-0.0807098106549,-0.092044793598875,-0.08217299961245
0,-0.086147092797825,-0.089651489745725,-0.081343166847375
0,-0.0802775440347,-0.09683140130515,-0.07840971059945
0,-0.085714826177625,-0.094438097452,-0.077579877834375
0,-0.0753649685608,-0.0875152679937,-0.079808348009825
0,-0.070715851879225,-0.08841910388595,-0.08453625709285
0,-0.0975671494499,-0.064122250959625,-0.069924295173925
0,-0.0975671494499,-0.07198293816995,-0.0703285767622
0,-0.0933266271153,-0.061683591981525,-0.080904558853025
0,-0.094469929888375,-0.0757987591133,-0.064910638855975
0,-0.0975671494499,-0.059391423055775,-0.075902782770925
0,-0.09005594448715,-0.072358636708575,-0.060609143711
0,-0.089391575475725,-0.077316622887525,-0.0559067962383
0,-0.0933244388374,-0.061563572342775,-0.062675060759575
0,-0.088910453436175,-0.065984137148375,-0.058777847202875
0,-0.091245449188925,-0.0456647682495,-0.093042919592975
0,-0.087004926854325,-0.0514809063959,-0.090168280896125
0,-0.097701042970225,-0.03989126087965,-0.086333959969325
0,-0.093103128910675,-0.043287429569475,-0.087594243776375
0,-0.09375393592315,-0.035146845705375,-0.08699680266825
0,-0.0891560218636,-0.0385430143952,-0.0882570864753
230022.45090681,-0.054518148228875,-0.0886995398212,0.011791731963112
229478.09070896,-0.054105807880675,-0.0875292177447,0.011320536153515
153582.52965928,-0.05504004736105,-0.0900798180743,0.01118469312898
152750.22861293,-0.054982320026275,-0.086454385458425,0.011302318346308
228772.61558505,-0.0545150207201,-0.0851175566392,0.011785537996195
230727.92512392,-0.054162492712525,-0.091157719200025,0.01120084628055
233604.08602755,-0.05493895007985,-0.0992821234963,0.0119145651798
233186.78097517,-0.054271550776925,-0.0974451204524,0.011139501755755
155623.01117488,-0.056492402326625,-0.0992821234963,0.01244049154265
155625.99442027,-0.055421006533875,-0.0983429178775,0.010835914222085
77644.919567599,-0.05697445878065,-0.0983429178775,0.011361840584935
77644.919567599,-0.05692464302015,-0.097197885971775,0.01235192620453
231262.22388882,-0.0545835533788,-0.09230732884195,0.01168973890288
77262.160860935,-0.056276676030275,-0.0944395537915,0.011626989409898
232467.86698344,-0.0546926114432,-0.095901337819025,0.011628394378085
154407.55632557,-0.055177036033825,-0.093788990847025,0.010940491323972
231968.34288048,-0.0542449875119,-0.094823619472525,0.0110806724868
154907.08042853,-0.05579225143965,-0.0956541033384,0.01231489246401
232291.81027292,-0.055324395296075,-0.0953112926526,0.013762276644775
225704.14276662,-0.053833224506275,-0.07676566460345,0.011331736383278
150228.95068204,-0.0547186202357,-0.075711490509175,0.010950192083465
148026.18674598,-0.05368218091535,-0.06605709339615,0.009753909496945
148861.35852927,-0.053596227542725,-0.069498812015875,0.01003663274511
74221.91887356,-0.054307142435875,-0.068368119012775,0.0097998001664775
74221.91887356,-0.05380199576145,-0.067257029308875,0.0091897275855325
224441.7657656,-0.05411098037635,-0.073136221791875,0.010949917037928
224974.01442056,-0.054521089513775,-0.0742796842405,0.011416695399452
149384.50339423,-0.054769289230575,-0.07196021034825,0.01068090006067
226244.0442798,-0.05424385067225,-0.077925793341025,0.011799534519942
151072.35596914,-0.0546336554503,-0.0789555234089,0.010856230572838
152462.30821965,-0.055404717556975,-0.085057598249025,0.012592406835833
76022.386972118,-0.055857200523325,-0.08359226392825,0.012485108007618
152179.50925611,-0.0555228125612,-0.083439809221625,0.013627319632535
228619.43050364,-0.05507032959485,-0.0849051435424,0.01373461846075
75475.192084575,-0.054198066157925,-0.07826691979695,0.009779668795675
0,-0.055797893988875,-0.078124317704525,0.0088266176245175
0,-0.055883375802825,-0.076692545943925,0.008921598910285
75057.262371373,-0.054283547971875,-0.07593735061125,0.0098746500814425
150532.45445595,-0.05339815224245,-0.076991524705525,0.010256194381255
225847.37568979,-0.05216813572965,-0.07678445299025,0.010046142083382
152332.69433752,-0.054580854551075,-0.084297352478075,0.010756972970975
76022.386972118,-0.055443486907175,-0.083110503553975,0.011116531814065
227512.33301794,-0.054501617706825,-0.0813981962168,0.012164255111853
151489.94604582,-0.05489127627995,-0.0805993341277,0.011220663027955
226965.1381304,-0.05402864392385,-0.0799905882016,0.010861104184865
228225.47649878,-0.053704342405475,-0.083576589914175,0.010775190778183
151915.16913338,-0.054566974761575,-0.082389740990075,0.011134749621273
75892.782161258,-0.0549566333347,-0.081590878900975,0.010191157537375
226534.76546293,-0.05156327191885,-0.078261728114975,0.009832663526675
232658.28680087,-0.051463843210875,-0.096234662023475,0.0097957481516225
228367.51106217,-0.052694048502575,-0.0838818594412,0.010095041073335
225257.78736688,-0.05155103153045,-0.07551754074145,0.009831744948015
0,-0.075325330897875,-0.09456663850255,-0.073040632152225
0,-0.071161396434575,-0.090037112897375,-0.075052327184375
77981.074852667,-0.05557612504805,-0.0990607943812,0.0090722289107275
155541.86140758,-0.0544266692911,-0.0981629969561,0.0093758164443975
233250.26574442,-0.05291027311655,-0.098525849242425,0.0094515490517075
155269.19089175,-0.052643869798275,-0.097507019764225,0.0087907495839175
77560.786554908,-0.054160265972825,-0.0971441674779,0.0087150169766075
0,-0.057031789093025,-0.098023935775775,0.00800299644718
0,-0.057710973862525,-0.098963141394575,0.006842652304665
0,-0.0596329773106,-0.098963141394575,0.007724439109165
0,-0.0831971363527,-0.081577305746775,-0.0536477993567
0,-0.08981847588725,-0.092373390780125,-0.0549503035327
